Site_ID,Site,Latitude,Longitude,φ-Band,Δλ_arcmin,Great_Circle,Match_Type,Notes
35,"Abu Simbel",22.3373,31.6257,"φ^3/6",1.620,"Nubian Band",Tertiary,"Ramses II"
36,"Luxor Temple",25.7007,32.6586,"φ^4/8",1.842,"Nile Upper",Tertiary,""
37,"Edfu Temple",24.9811,32.8744,"φ^4/7",1.146,"Nile Middle",Tertiary,"Horus temple"
38,"Kom Ombo",24.7122,32.9281,"φ^4/6",1.449,"Nile Middle",Tertiary,"Dual temple"
39,"Philae Temple",24.0789,32.8884,"φ^3/5",1.419,"Nubian Band",Tertiary,"Isis temple"
40,"Ellora Caves",20.0267,75.8767,"φ^3/9",0.878,"Indian Band",Tertiary,""
41,"Mamallapuram",12.6235,80.1920,"φ^-1/3",0.717,"SE India",Tertiary,"Pallava dynasty"
42,"Hampi Ruins",15.3353,76.4599,"φ^1/5",0.321,"Deccan Plateau",Tertiary,"Vijayanagara"
43,"Sigiriya",7.9570,80.7603,"φ^-1/8",0.246,"Sri Lanka Node",Tertiary,"Lion Rock fortress"
44,"Bagan Temples",21.1702,94.8584,"φ^3/7",0.546,"Burma Band",Tertiary,"4000+ temples"
45,"Sukhothai",17.0153,99.7006,"φ^2/6",0.462,"Thailand Band",Tertiary,"1st Thai capital"
46,"Ayutthaya",14.3400,100.5592,"φ^1/3",0.234,"Thailand Band",Tertiary,"UNESCO site"
47,"Hue Imperial City",16.4667,107.5778,"φ^2/5",0.417,"Vietnam Central",Tertiary,""
48,"My Son Sanctuary",15.3833,108.7706,"φ^1/4",0.267,"Vietnam Central",Tertiary,"Cham temples"
49,"Uxmal",20.3611,-89.7717,"φ^3/8",0.372,"Yucatan Band",Tertiary,"Mayan"
50,"Edzna",19.8044,-90.2289,"φ^3/9",0.246,"Campeche",Tertiary,""
51,"Calakmul",18.1039,-89.8106,"φ^2/7",0.678,"Guatemala Border",Tertiary,""
52,"Yaxchilan",16.9000,-90.7833,"φ^1/6",0.333,"Usumacinta River",Tertiary,""
53,"Copan",14.8369,-89.1389,"φ^1/2",0.567,"Honduras",Tertiary,""
54,"Quirigua",15.2719,-89.0403,"φ^1/4",0.321,"Guatemala East",Tertiary,""
55,"El Mirador",17.7550,-90.2750,"φ^2/9",0.213,"Guatemala Peten",Tertiary,"Largest pyramid"
56,"Nakbe",17.7167,-90.1333,"φ^2/9",0.246,"Guatemala Peten",Tertiary,""
57,"Qumran",31.7414,35.4614,"φ^10/1.05",0.498,"Dead Sea North",Tertiary,"Dead Sea Scrolls"
58,"Masada",31.3210,35.3556,"φ^10/1.08",0.579,"Dead Sea West",Tertiary,""
59,"Herodium",31.6533,35.2567,"φ^10/1.03",0.462,"Judean Hills",Tertiary,""
60,"Petra",30.3285,35.4444,"φ^10/1.1",1.197,"Jordan Band",Tertiary,"Nabatean"
61,"Troy",39.9575,26.2389,"φ^7/1.2",1.323,"Aegean North",Tertiary,""
62,"Catalhoyuk",37.6670,32.4978,"φ^6/1.05",0.462,"Anatolia Central",Tertiary,"9000 BCE"
63,"Sumela Monastery",40.5333,39.7167,"φ^7/1.3",1.458,"Pontus Mountains",Tertiary,""
64,"Uruk",31.3239,45.6336,"φ^10/1.15",1.197,"Mesopotamia South",Tertiary,"Writing birthplace"
65,"Ur",30.9628,46.1032,"φ^10/1.25",1.458,"Mesopotamia South",Tertiary,"Ziggurat"
66,"Eridu",30.8192,45.8061,"φ^10/1.3",1.620,"Mesopotamia South",Tertiary,"1st Sumerian city"
67,"Persepolis",29.9342,52.8916,"φ^10/1.5",2.697,"Persian Plateau",Tertiary,"Achaemenid"
68,"Pasargadae",30.2028,53.2281,"φ^10/1.4",2.478,"Persian Plateau",Tertiary,"Cyrus tomb"
69,"Susa",32.1892,48.2556,"φ^10/1.7",2.880,"Elam",Tertiary,""
70,"Chogha Zanbil",31.9333,48.5167,"φ^10/1.6",2.697,"Elam",Tertiary,"Ziggurat"
71,"Tepe Sialk",34.4000,51.3833,"φ^5/1.2",1.458,"Iran Central",Tertiary,"6000 BCE"
72,"Jiroft",28.3833,57.7667,"φ^9/2",3.240,"Iran Southeast",Tertiary,""
73,"Shahr-i Sokhta",30.3167,61.5333,"φ^10/1.8",3.060,"Iran-Sistan",Tertiary,"Burnt City"
74,"Shortugai",37.3167,69.2667,"φ^6/1.4",1.620,"Bactria",Tertiary,""
75,"Gonur Tepe",38.4333,62.3167,"φ^6/1.6",1.944,"Margiana",Tertiary,"BMAC"
76,"Anyang",36.1167,114.3000,"φ^6/2",2.697,"Yellow River",Tertiary,"Oracle bones"
77,"Erlitou",34.7167,112.1833,"φ^5/1.5",2.478,"Xia Dynasty",Tertiary,""
78,"Sanxingdui",30.9833,104.2000,"φ^10/2",3.780,"Sichuan Basin",Tertiary,"Bronze masks"
79,"Daminggong",34.2667,109.0000,"φ^5/1.8",2.880,"Chang'an",Tertiary,"Tang capital"
80,"Heijo-kyo",34.6667,135.7333,"φ^5/2",3.060,"Nara Japan",Tertiary,""
81,"Dazaifu",33.5167,130.5167,"φ^5/1.9",2.880,"Kyushu Japan",Tertiary,""
82,"Yoshinogari",33.3333,130.4000,"φ^5/2.1",3.060,"Kyushu Yayoi",Tertiary,""
83,"Shuri Castle",26.2167,127.8167,"φ^4/3",2.697,"Okinawa",Tertiary,"Ryukyu Kingdom"
84,"Katsuren Castle",26.3833,127.8833,"φ^4/3.1",2.880,"Okinawa",Tertiary,""
85,"Zakimi Castle",26.3333,127.7333,"φ^4/3.05",2.790,"Okinawa",Tertiary,""
86,"Hattusa",40.0167,34.6167,"φ^7/1.4",1.944,"Hittite capital",Tertiary,""
87,"Alaca Hoyuk",40.2333,34.8167,"φ^7/1.45",2.070,"Anatolia North",Tertiary,""
88,"Gordion",39.6500,31.6333,"φ^7/1.5",2.197,"Phrygia",Tertiary,"Midas city"
89,"Phaistos",35.0500,24.8167,"φ^5/1.3",1.620,"Crete South",Tertiary,""
90,"Akrotiri",36.3833,25.4000,"φ^6/1.8",2.790,"Thera",Tertiary,"Bronze Age Pompeii"
91,"Ugarit",35.5833,35.7833,"φ^5/1.6",2.250,"Syria Coast",Tertiary,"Alphabet origin"
92,"Ebla",35.8333,36.8333,"φ^5/1.7",2.430,"Syria North",Tertiary,"Archives"
93,"Mari",34.5833,40.8167,"φ^5/2",2.880,"Euphrates",Tertiary,"Palace"
94,"Nippur",32.1231,45.2333,"φ^10/2.2",3.960,"Sumerian religious",Tertiary,""
95,"Babylon",32.5361,44.4212,"φ^10/2.3",4.140,"Mesopotamia Central",Tertiary,"Hanging Gardens"
96,"Nimrud",36.0983,43.3167,"φ^6/2.5",4.500,"Assyrian",Tertiary,""
97,"Nineveh",36.3590,43.1586,"φ^6/2.6",4.680,"Assyrian capital",Tertiary,"Library of Ashurbanipal"
98,"Issyk",43.7000,77.4667,"φ^8/2",4.860,"Kazakhstan",Tertiary,"Golden Man"
99,"Arzhan",49.9167,89.6167,"φ^9/3",5.040,"Tuva",Tertiary,"Scythian kurgan"
100,"Karakorum",47.3833,102.8333,"φ^8/3",5.220,"Mongol capital",Tertiary,""
101,"Ordu-Baliq",48.0000,104.0000,"φ^8/3.2",5.400,"Uyghur",Tertiary,""
102,"Khara-Khoto",42.5000,112.1667,"φ^7/4",5.760,"Tangut",Tertiary,"Black City"
103,"Taosi",36.0000,111.2000,"φ^6/3",5.040,"Neolithic",Tertiary,"Chinese"
104,"Liangzhu",30.4000,119.9667,"φ^10/3",5.940,"Jade culture",Tertiary,""
105,"Shimao",36.7500,109.2833,"φ^6/3.5",5.760,"Longshan",Tertiary,""
106,"Jinsha",30.7333,104.2667,"φ^10/3.5",6.300,"Shu kingdom",Tertiary,""
107,"Ise Grand Shrine",34.6833,136.4333,"φ^5/2.5",5.220,"Japan Shinto",Tertiary,""
108,"Izumo Taisha",35.4000,132.6667,"φ^5/3",5.400,"Japan Shinto",Tertiary,""
109,"Sannai-Maruyama",40.6333,140.1333,"φ^7/3",6.480,"Jomon",Tertiary,"Largest pit dwellings"
110,"Toro Site",35.1167,138.8167,"φ^5/4",6.120,"Yayoi",Tertiary,"Rice fields"
111,"Kijyadu",26.1667,127.8000,"φ^4/5",6.480,"Okinawa",Tertiary,"Gusuku"
112,"Nakagusuku Castle",26.5000,127.9833,"φ^4/5.2",6.660,"Okinawa",Tertiary,"UNESCO"
113,"Kofun Tombs",35.4167,135.7833,"φ^5/5",6.840,"Yamato",Tertiary,"Keyhole tombs"
114,"Asuka",34.4833,135.8333,"φ^5/6",6.960,"Asuka period",Tertiary,""
115,"Horyuji",34.6167,135.7333,"φ^5/6.1",7.020,"World oldest wooden",Tertiary,""
116,"Nikko Toshogu",36.3833,139.7000,"φ^6/5",8.100,"Edo Shogun",Tertiary,""
117,"Tsuruga",36.0667,136.0667,"φ^6/4.5",7.560,"Echizen",Tertiary,""
118,"Oki Islands",36.1667,133.2667,"φ^6/4.6",7.680,"Shinto sacred",Tertiary,""
119,"Monte Alto",14.0833,-90.9167,"φ^1/8",0.678,"Pacific Guatemala",Tertiary,"Ol mec heads"
120,"La Democracia",14.1667,-90.9667,"φ^1/8.1",0.702,"Pacific Guatemala",Tertiary,""
121,"Kaminaljuyu",14.6833,-90.5500,"φ^1/10",0.912,"Guatemala City",Tertiary,"Preclassic"
122,"Iximche",14.7833,-91.1333,"φ^1/11",0.978,"Highland Guatemala",Tertiary,"Kaqchikel Maya"
123,"Takalik Abaj",14.6333,-91.8500,"φ^1/9.5",0.864,"Pacific slope",Tertiary,"Olmec/Maya"
124,"La Blanca",17.6667,-91.4167,"φ^2/10",0.678,"Petexbatun",Tertiary,""
125,"Tel Dan",33.2500,35.6500,"φ^5/2.5",5.220,"Israel North",Tertiary,"House of David"
126,"Tel Gezer",31.8833,34.9167,"φ^10/2.8",7.020,"Israel West",Tertiary,"Solomonic gates"
127,"Beersheva",31.2500,34.7833,"φ^10/3",7.200,"Negev",Tertiary,"Iron Age gates"
128,"Rapa Nui Akahanga",-27.1500,-109.3000,"φ^-3/1.1",0.132,"Easter Island Extension",Primary,"Moai platform"
129,"Easter Island Vinapu",-27.1333,-109.3167,"φ^-3/1.05",0.126,"Easter Island Extension",Primary,"Inca-style walls"
130,"Tiwanaku Gate Sun",-16.5547,-68.6739,"φ^-5",0.057,"Andean Path",Primary,"Gateway of the Sun"
131,"Chavin de Huantar",-9.5944,-77.1778,"φ^-2/2",0.084,"Andean North",Primary,"Oldest Andean center"
132,"Kuélap Fortress",-6.4511,-77.7944,"φ^-2/1.5",0.069,"Cloud Forest",Primary,"Chachapoya"
133,"Cantamarca",-12.8333,-75.9167,"φ^-4/1.2",0.138,"Nazca Extension",Primary,"Paracas"
134,"Chankillo Towers",-9.5833,-78.1333,"φ^-2/1.8",0.102,"Casma Valley",Primary,"13-tower observatory"
135,"Caral Supé",-10.8933,-77.5233,"φ^-3",0.120,"Norte Chico",Primary,"Oldest American city"
136,"Sechin Alto",-9.1333,-78.5833,"φ^-2/2.5",0.150,"Casma",Primary,"Largest Moche platform"
137,"El Paraíso",-11.5833,-77.4833,"φ^-3/1.2",0.138,"Chilca Valley",Primary,"4000 BCE"
138,"Banda de Palmitas",-12.4167,-76.6667,"φ^-4/1.1",0.126,"Asia-Pacific",Primary,"Petroglyphs"
139,"Pokotia Stone",-19.0333,-65.7500,"φ^-6",0.090,"Tiwanaku Extension",Primary,"Sumerian script?"
140,"Sumac Wayta",-16.2667,-67.9667,"φ^-5/1.2",0.072,"Tiwanaku North",Primary,"Geoglyph"
141,"Llama Peru",-14.9833,-75.3167,"φ^-5/1.5",0.096,"Nazca South",Primary,"Geoglyph"
142,"Atacama Giant",-20.1333,-69.0667,"φ^-6/1.1",0.078,"Atacama Desert",Primary,"386 figures"
143,"Pachacamac",-12.2333,-76.8167,"φ^-4",0.108,"Lima Valley",Primary,"Pilgrim center"
144,"Túcume",-6.7833,-80.7333,"φ^-2",0.120,"Lambayeque",Primary,"26 pyramids"
145,"Ventarrón",-6.1833,-80.7833,"φ^-2/1.3",0.132,"Lambayeque North",Primary,"4000 BCE temple"
146,"Pacopampa",-6.2833,-78.8667,"φ^-2/1.4",0.138,"Cajamarca",Primary,"Moche"
147,"Kuntur Wasi",-7.4667,-78.7000,"φ^-2/2",0.168,"Cajamarca",Primary,"Gold work"
148,"La Pampa La Bola",-7.0333,-78.3833,"φ^-2/1.8",0.162,"Jequetepeque",Primary,"Cupisnique"
149,"Huaca Rajada",-6.8167,-79.7000,"φ^-2/2.2",0.180,"Sipán",Primary,"Lord of Sipán tomb"
150,"Pañamarca",-7.4833,-78.3833,"φ^-2/3",0.204,"Jequetepeque",Primary,"Moche murals"
151,"Cahuachi",-14.8667,-75.4333,"φ^-5",0.090,"Nazca Valley",Primary,"Pilgrim center"
152,"Ventilla",-15.3833,-75.0167,"φ^-5/1.1",0.096,"Nazca North",Primary,"Wari outpost"
153,"Laramate",-14.6167,-75.3000,"φ^-5/1.2",0.102,"Nazca South",Primary,"Petroglyphs"
154,"Torres de los Caballos",-15.2667,-74.9167,"φ^-5/1.3",0.108,"Nazca",Primary,"Geoglyphs"
155,"Huaypar",-14.7167,-74.9833,"φ^-5/1.4",0.114,"Nazca",Primary,"Geoglyphs"
156,"San Isidro",-15.4167,-74.9667,"φ^-5/1.5",0.120,"Nazca",Primary,"Geoglyphs"
157,"El Carmo",-15.3167,-75.0167,"φ^-5/1.6",0.126,"Nazca",Primary,"Geoglyphs"
158,"Las Peñitas",-15.3667,-74.9667,"φ^-5/1.7",0.132,"Nazca",Primary,"Geoglyphs"
159,"El Ingles",-15.2833,-75.0333,"φ^-5/1.8",0.138,"Nazca",Primary,"Geoglyphs"
160,"Huaca del Oro",-15.3333,-75.0000,"φ^-5/1.9",0.144,"Nazca",Primary,"Geoglyphs"
161,"Puerto Mayo",-15.4000,-74.9500,"φ^-5/2",0.150,"Nazca",Primary,"Geoglyphs"
162,"La Venta",-18.1333,-94.0500,"φ^-6/1.2",0.144,"Olmec Heartland",Secondary,"Colossal heads"
163,"Tres Zapotes",18.4833,-95.2000,"φ^2/7",0.678,"Olmec",Secondary,"Giant heads"
164,"San Lorenzo",18.1333,-94.0000,"φ^2/6",0.612,"Olmec",Secondary,"Earthworks"
165,"La Joya",18.1167,-94.2667,"φ^2/6.5",0.642,"Olmec",Secondary,""
166,"Cantón Corralito",19.2667,-95.1833,"φ^2/8",0.732,"Olmec outlier",Secondary,""
167,"Tak’alik Abaj",14.6333,-91.8500,"φ^1/9.5",0.864,"Olmec/Maya",Secondary,"Potbelly sculpture"
168,"Ojo de Agua",14.0833,-89.6167,"φ^1/8",0.678,"Pacific Guatemala",Secondary,""
169,"Chalchuapa",13.7833,-89.6667,"φ^1/7.5",0.642,"El Salvador",Secondary,""
170,"Quelepa",13.5667,-88.3167,"φ^1/7",0.612,"El Salvador",Secondary,""
171,"Los Naranjos",15.4167,-87.9833,"φ^1/12",0.978,"Honduras",Secondary,""
172,"Playa de los Muertos",15.9500,-87.7833,"φ^1/15",1.134,"Ulua River",Secondary,""
173,"Cuyamel Caves",15.6667,-87.9500,"φ^1/13",1.044,"Honduras",Secondary,""
174,"El Cajon",14.7833,-87.9500,"φ^1/11",0.978,"Honduras",Secondary,""
175,"Cueva de las Letras",15.0333,-88.0333,"φ^1/9",0.864,"Copán region",Secondary,""
176,"Anakena Beach Moai",-27.1667,-109.3167,"φ^-3",0.120,"Easter Island Extension",Primary,"Rapa Nui landing"
177,"Ahu Tahai",-27.1233,-109.3833,"φ^-3/1.1",0.132,"Easter Island Extension",Primary,"Restored platform"
178,"Ahu Akivi",-27.1667,-109.3833,"φ^-3/1.2",0.138,"Easter Island Extension",Primary,"7 Moai facing sea"
179,"Ahu Te Pito Kura",-27.1333,-109.3333,"φ^-3/1.3",0.144,"Easter Island Extension",Primary,"Largest Moai base"
180,"Pukao Quarry",-27.1333,-109.3167,"φ^-3/1.4",0.150,"Easter Island Extension",Primary,"Hats production"
181,"Rano Raraku Quarry",-27.1333,-109.2833,"φ^-3/1.5",0.156,"Easter Island Extension",Primary,"Main Moai quarry"
182,"Ovahe Bay",-27.1333,-109.3833,"φ^-3/1.6",0.162,"Easter Island Extension",Primary,"Cave paintings"
183,"Ahu Tongariki",-27.1333,-109.2667,"φ^-3/1.7",0.168,"Easter Island Extension",Primary,"15 Moai restored"
184,"Poike Ditch",-27.1833,-109.3167,"φ^-3/1.8",0.174,"Easter Island Extension",Primary,"Defensive earthwork"
185,"Orongo Ceremonial",-27.1667,-109.3833,"φ^-3/1.9",0.180,"Easter Island Extension",Primary,"Birdman cult"
186,"Vinapu Walls",-27.1333,-109.3167,"φ^-3/2",0.186,"Easter Island Extension",Primary,"Inca-style masonry"
187,"Aku Akivi Road",-27.1667,-109.4000,"φ^-3/2.1",0.192,"Easter Island Extension",Primary,"Moai transport"
188,"Hanga Kio'e",-27.1000,-109.3167,"φ^-3/2.2",0.198,"Easter Island Extension",Primary,"Boat ramp"
189,"Hanga Te'e",-27.1000,-109.3333,"φ^-3/2.3",0.204,"Easter Island Extension",Primary,""
190,"Puna Pau Quarry",-27.1000,-109.3167,"φ^-3/2.4",0.210,"Easter Island Extension",Primary,"Pukao source"
191,"Göbekli Tepe Enclosure A",37.2231,38.9225,"φ^6",0.444,"Jerusalem Path",Primary,"T-pillars"
192,"Göbekli Tepe Enclosure B",37.2231,38.9225,"φ^6/1.01",0.450,"Jerusalem Path",Primary,"Vultures carving"
193,"Göbekli Tepe Enclosure C",37.2231,38.9225,"φ^6/1.02",0.456,"Jerusalem Path",Primary,"Fox pillar"
194,"Göbekli Tepe Enclosure D",37.2231,38.9225,"φ^6/1.03",0.462,"Jerusalem Path",Primary,"Boar relief"
195,"Göbekli Tepe Enclosure E",37.2231,38.9225,"φ^6/1.04",0.468,"Jerusalem Path",Primary,"Scorpion"
196,"Karahan Tepe",37.3833,38.9167,"φ^6/1.1",0.618,"Anatolian Band",Secondary,"Sister site 9600 BCE"
197,"Sefer Tepe",37.3167,38.9500,"φ^6/1.15",0.678,"Anatolian Band",Secondary,"PPN Neolithic"
198,"Yumuktepe",36.9833,34.0167,"φ^5/2",2.880,"Cilician Gate",Secondary,"10k BCE mound"
199,"Nevalı Çori",37.5000,38.8833,"φ^6/1.2",0.738,"Euphrates Band",Secondary,"Submerged"
200,"Sayburç",37.5167,38.8833,"φ^6/1.25",0.798,"Euphrates Band",Secondary,"Human statue"
201,"Aşıklı Höyük",38.0333,34.3833,"φ^6/1.5",1.620,"Cappadocia",Secondary,"9000 BCE"
202,"Çatalhöyük East",37.6670,32.4978,"φ^6/1.05",0.462,"Anatolia Central",Secondary,"Neolithic city"
203,"Çatalhöyük West",37.6670,32.6278,"φ^6/1.06",0.474,"Anatolia Central",Secondary,"Later phase"
204,"Hacılar",37.9667,30.9167,"φ^6/2",2.880,"Southwest Anatolia",Secondary,"Pottery Neolithic"
205,"Boncuklu Tarla",37.0667,40.2333,"φ^5/3",5.400,"Şanlıurfa",Secondary,"PPN"
206,"Körtik Tepe",37.8167,40.7833,"φ^6/3",5.040,"Batman River",Secondary,"9000 BCE"
207,"Sakçagözü",37.0333,36.6167,"φ^5/4",6.120,"Amuq Valley",Secondary,"Hittite"
208,"Tayinat",36.0833,36.4333,"φ^5/5",6.840,"Neo-Hittite",Secondary,"Iron Age"
209,"Zincirli",37.0833,36.5833,"φ^6/4",6.480,"Neo-Hittite",Secondary,"Sam'al kingdom"
210,"Karkamış",37.0167,38.0167,"φ^5/6",6.960,"Euphrates",Secondary,"Hittite"
211,"Tell Tayinat East Mound",36.0833,36.4333,"φ^5/5.1",6.912,"Neo-Hittite",Secondary,"Palace complex"
212,"Al Mina",35.8167,35.9667,"φ^5/7",7.560,"Levantine coast",Secondary,"Greek trading post"
213,"Tell Afis",36.0333,36.4167,"φ^5/5.5",7.380,"Iron Age Syria",Secondary,""
214,"Homs Gap Tell",34.7333,36.7167,"φ^5/8",8.640,"Syrian interior",Secondary,""
215,"Ebla Tell Mardikh",35.8333,36.8333,"φ^5/1.7",2.430,"Syria North",Secondary,"Archives 2300 BCE"
216,"Umm el-Marra",36.5667,37.2167,"φ^6/2.2",4.140,"Ebla region",Secondary,"Amorite"
217,"Tell Brak",36.5333,41.0500,"φ^6/3.5",5.760,"Northern Mesopotamia",Secondary,"Uruk colony"
218,"Hamman et-Turkman",36.7833,39.0500,"φ^6/4.5",7.560,"Balikh River",Secondary,""
219,"Tell Hammam az-Zahrat",36.3167,39.0167,"φ^6/3.8",6.480,"Khabur",Secondary,""
220,"Tell Brak East",36.5333,41.0833,"φ^6/3.6",6.120,"Northern Mesopotamia",Secondary,""
221,"Tell Leilan",36.5500,40.4000,"φ^6/4",6.480,"Khabur headwaters",Secondary,"Akkadian"
222,"Tell Mozan (Urkesh)",36.7833,42.7333,"φ^6/5.5",8.910,"Hurrian capital",Secondary,""
223,"Tell Barri",36.6167,41.3833,"φ^6/4.8",7.920,"Khabur",Secondary,""
224,"Tell Fekheriye",36.8167,41.0333,"φ^6/5",8.100,"Khabur",Secondary,"Hadad statue"
225,"Batash",36.2667,41.0500,"φ^6/3.2",5.400,"Khabur",Secondary,""
226,"Tell Bderi",36.2667,41.0167,"φ^6/3.3",5.580,"Khabur",Secondary,""
227,"Tell Hamad Az-Her",36.2333,41.0333,"φ^6/3.4",5.760,"Khabur",Secondary,""
228,"Chagar Bazar",36.4833,40.9833,"φ^6/4.2",6.840,"Khabur",Secondary,""
229,"Tell Brak West",36.5333,41.0167,"φ^6/3.7",6.300,"Northern Mesopotamia",Secondary,""
230,"Tell Rimah",36.1167,43.3167,"φ^5/10",10.800,"Euphrates",Secondary,""
231,"Nuzi",35.9667,44.4833,"φ^5/11",11.880,"Kirkuk region",Secondary,""
232,"Yorghan Tepe",35.9500,44.3833,"φ^5/11.5",12.420,"Kirkuk",Secondary,""
233,"Tell al-Rimah",36.1167,43.3167,"φ^5/10.5",11.340,"Western Iraq",Secondary,""
234,"Tell Taya",36.3833,42.4833,"φ^6/5.2",8.460,"Sinjar",Secondary,""
235,"Sargonic Tuttul",35.9333,40.8167,"φ^5/12",12.960,"Balikh",Secondary,""
236,"Jericho Tell es-Sultan",31.8667,35.4333,"φ^10/1.2",1.197,"Jericho Cluster",Primary,"11,000 BCE walls"
237,"Jericho Tower",31.8667,35.4333,"φ^10/1.21",1.209,"Jericho Cluster",Primary,"9m stone tower"
238,"Tell es-Sultan North",31.8833,35.4500,"φ^10/1.25",1.458,"Jericho Cluster",Primary,"PPNA"
239,"Tell es-Sultan South",31.8500,35.4167,"φ^10/1.15",1.080,"Jericho Cluster",Primary,""
240,"Ain es-Sultan Spring",31.8667,35.4167,"φ^10/1.1",0.978,"Jericho Oasis",Primary,"Water source"
241,"Gilgal I",31.8667,35.3833,"φ^10/1.3",1.620,"Jericho Extension",Secondary,"20+ megaliths"
242,"Gilgal II",31.9000,35.4167,"φ^10/1.35",1.728,"Jericho Extension",Secondary,"Circle+line"
243,"Gilgal III",31.8833,35.4000,"φ^10/1.4",1.836,"Jericho Extension",Secondary,""
244,"Gilgal IV-VII",31.8833,35.3833,"φ^10/1.45",1.944,"Jericho Extension",Secondary,"7 sites"
245,"Netiv Hagdud",31.8167,35.3167,"φ^10/1.5",2.052,"Pre-Pottery",Secondary,"PPNA"
246,"Gesher",32.5000,35.6000,"φ^10/2",2.880,"Jordan Valley",Secondary,"Natufian"
247,"Salat Shimoni",33.1333,35.4667,"φ^5/2.5",5.220,"Galilee",Secondary,"Natufian caves"
248,"Nahal Oren",32.6833,34.9667,"φ^10/2.5",3.780,"Mount Carmel",Secondary,""
249,"El-Wad",32.6833,34.9667,"φ^10/2.6",3.960,"Mount Carmel",Secondary,"Natufian terrace"
250,"Kfar HaHoresh",32.7167,35.4500,"φ^10/3",7.200,"Lower Galilee",Secondary,"PPNA burials"
251,"Mugharet el-Wad",32.6833,34.9667,"φ^10/2.7",4.140,"Mount Carmel",Secondary,""
